time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.023084	0.00334061	1.01547	0.041818
0.5	0.0138877	0.00211214	1.12103	0.0846119
1	0.00796962	0.00137714	1.20092	0.168479
1.5	0.00442999	0.00101502	1.23235	0.406697
2	0.00249635	0.000855851	0.903384	0.541931
2.5	0.00164823	0.000800272	0.212742	0.338058
3	0.00151235	0.000777937	-0.0578336	0.436066
3.5	0.00154549	0.000751279	-0.286796	0.67155
4	0.00173489	0.000798577	-0.256502	0.441573
4.5	0.00204108	0.000950285	-0.125029	0.133167
5	0.0021961	0.00102916	0.125029	0.133167
5.5	0.00204108	0.000950285	0.256502	0.441573
6	0.00173489	0.000798577	0.286796	0.67155
6.5	0.00154549	0.000751279	0.0578336	0.436066
7	0.00151235	0.000777937	-0.212742	0.338058
7.5	0.00164823	0.000800272	-0.903384	0.541931
8	0.00249635	0.000855851	-1.23235	0.406697
8.5	0.00442999	0.00101502	-1.20092	0.168479
9	0.00796962	0.00137714	-1.12103	0.0846119
