time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.0266062	0.00401641	0.872152	0.0602939
0.5	0.0172926	0.00285663	0.873793	0.0875355
1	0.0112931	0.00215292	0.803218	0.104215
1.5	0.00766523	0.00174829	0.711388	0.127149
2	0.00545054	0.00150613	0.483778	0.131307
2.5	0.00432628	0.00137856	0.387638	0.174941
3	0.00360644	0.00132076	0.239281	0.178398
3.5	0.00324413	0.00126231	0.295123	0.251867
4	0.00285082	0.00119142	0.33349	0.276803
4.5	0.00247616	0.00117387	-0.0302716	0.128291
5	0.00254224	0.00123946	0.0302716	0.128291
5.5	0.00247616	0.00117387	-0.33349	0.276803
6	0.00285082	0.00119142	-0.295123	0.251867
6.5	0.00324413	0.00126231	-0.239281	0.178398
7	0.00360644	0.00132076	-0.387638	0.174941
7.5	0.00432628	0.00137856	-0.483778	0.131307
8	0.00545054	0.00150613	-0.711388	0.127149
8.5	0.00766523	0.00174829	-0.803218	0.104215
9	0.0112931	0.00215292	-0.873793	0.0875355
