time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.0251523	0.00365035	0.935176	0.0408715
0.5	0.015714	0.00238234	0.920355	0.0653916
1	0.00984657	0.00163372	0.900621	0.122945
1.5	0.00621287	0.00121946	0.697908	0.161218
2	0.00434728	0.00105232	0.70062	0.212426
2.5	0.00306725	0.000983364	0.509394	0.25156
3	0.00238234	0.000964474	0.335652	0.304107
3.5	0.00204984	0.00100713	0.259435	0.475513
4	0.00190404	0.00111136	0.339288	0.807303
4.5	0.00178116	0.00123486	0.320912	1.63952
5	0.00167134	0.00130525	-0.320912	1.63952
5.5	0.00178116	0.00123486	-0.339288	0.807303
6	0.00190404	0.00111136	-0.259435	0.475513
6.5	0.00204984	0.00100713	-0.335652	0.304107
7	0.00238234	0.000964474	-0.509394	0.25156
7.5	0.00306725	0.000983364	-0.70062	0.212426
8	0.00434728	0.00105232	-0.697908	0.161218
8.5	0.00621287	0.00121946	-0.900621	0.122945
9	0.00984657	0.00163372	-0.920355	0.0653916
