time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.0226785	0.00327154	1.02049	0.0468508
0.5	0.0135324	0.00205036	1.07084	0.0756524
1	0.0078923	0.00135104	1.21503	0.172855
1.5	0.0042986	0.00101018	1.35768	0.603349
2	0.00223927	0.00092244	1.07806	0.848356
2.5	0.00132726	0.000945531	0.781145	1.06624
3	0.000909995	0.000947046	0.16128	1.08669
3.5	0.000875425	0.000902464	0.193108	1.31186
4	0.000851213	0.000875256	-0.462733	0.705678
4.5	0.00105343	0.000879495	-0.190239	0.715212
5	0.00110086	0.00090117	0.190239	0.715212
5.5	0.00105343	0.000879495	0.462733	0.705678
6	0.000851213	0.000875256	-0.193108	1.31186
6.5	0.000875425	0.000902464	-0.16128	1.08669
7	0.000909995	0.000947046	-0.781145	1.06624
7.5	0.00132726	0.000945531	-1.07806	0.848356
8	0.00223927	0.00092244	-1.35768	0.603349
8.5	0.0042986	0.00101018	-1.21503	0.172855
9	0.0078923	0.00135104	-1.07084	0.0756524
