time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.025718	0.00380546	0.885746	0.0456926
0.5	0.0164524	0.0025812	0.883597	0.0669724
1	0.0105528	0.00182928	0.985608	0.111544
1.5	0.00649093	0.00135102	1.06092	0.183574
2	0.0039181	0.00105399	1.15488	0.36447
2.5	0.00236327	0.000891298	1.7242	1.07752
3	0.00130851	0.000838653	1.23224	1.92387
3.5	0.000748303	0.000872889	0.123864	2.51248
4	0.000397786	0.000971735	-0.0814755	2.81058
4.5	0.000183536	0.00105065	-0.32373	1.96052
5	0.000127766	0.00109355	0.32373	1.96052
5.5	0.000183536	0.00105065	0.0814755	2.81058
6	0.000397786	0.000971735	-0.123864	2.51248
6.5	0.000748303	0.000872889	-1.23224	1.92387
7	0.00130851	0.000838653	-1.7242	1.07752
7.5	0.00236327	0.000891298	-1.15488	0.36447
8	0.0039181	0.00105399	-1.06092	0.183574
8.5	0.00649093	0.00135102	-0.985608	0.111544
9	0.0105528	0.00182928	-0.883597	0.0669724
