time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.0223305	0.00323846	1.05772	0.0430664
0.5	0.0131498	0.00201628	1.05719	0.0724128
1	0.00772536	0.00132639	0.938069	0.103395
1.5	0.00482942	0.00099158	0.887976	0.158482
2	0.00313904	0.000836503	0.969569	0.329419
2.5	0.00199235	0.000725876	0.823512	0.717824
3	0.00146499	0.000667085	0.372234	0.554544
3.5	0.00126881	0.000682383	0.028489	0.601002
4	0.0012913	0.000771601	-0.391044	0.844475
4.5	0.00144795	0.000854665	-0.351366	0.718412
5	0.0017234	0.000895597	0.351366	0.718412
5.5	0.00144795	0.000854665	0.391044	0.844475
6	0.0012913	0.000771601	-0.028489	0.601002
6.5	0.00126881	0.000682383	-0.372234	0.554544
7	0.00146499	0.000667085	-0.823512	0.717824
7.5	0.00199235	0.000725876	-0.969569	0.329419
8	0.00313904	0.000836503	-0.887976	0.158482
8.5	0.00482942	0.00099158	-0.938069	0.103395
9	0.00772536	0.00132639	-1.05719	0.0724128
