time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.0219695	0.00322345	1.07335	0.0514361
0.5	0.0129392	0.00202618	1.03671	0.0612656
1	0.00775936	0.00133871	0.973748	0.0678547
1.5	0.00483772	0.000925464	0.993147	0.131293
2	0.00296979	0.000658101	1.23796	0.245644
2.5	0.00162153	0.000458018	1.79708	1.04229
3	0.000723116	0.000395541	2.51919	3.31183
3.5	-2.22972e-05	0.000450641	-2.28484	3.2582
4	-0.000584163	0.000581273	-0.366551	1.74084
4.5	-0.00091429	0.000692342	-0.275586	1.55833
5	-0.00100616	0.000775595	0.275586	1.55833
5.5	-0.00091429	0.000692342	0.366551	1.74084
6	-0.000584163	0.000581273	2.28484	3.2582
6.5	-2.22972e-05	0.000450641	-2.51919	3.31183
7	0.000723116	0.000395541	-1.79708	1.04229
7.5	0.00162153	0.000458018	-1.23796	0.245644
8	0.00296979	0.000658101	-0.993147	0.131293
8.5	0.00483772	0.000925464	-0.973748	0.0678547
9	0.00775936	0.00133871	-1.03671	0.0612656
