time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.0235925	0.00349597	0.979829	0.0620181
0.5	0.0144316	0.0023263	0.872112	0.0877165
1	0.00931961	0.00172639	0.71789	0.0947915
1.5	0.0064899	0.00142421	0.64805	0.14411
2	0.00468037	0.00127034	0.418841	0.146905
2.5	0.00379965	0.00120413	0.293181	0.200143
3	0.00332839	0.00121508	0.296173	0.265519
3.5	0.00295375	0.00129661	0.275488	0.328621
4	0.00265306	0.0013579	0.179994	0.453072
4.5	0.00250189	0.00141638	0.101404	0.35678
5	0.00243045	0.00145779	-0.101404	0.35678
5.5	0.00250189	0.00141638	-0.179994	0.453072
6	0.00265306	0.0013579	-0.275488	0.328621
6.5	0.00295375	0.00129661	-0.296173	0.265519
7	0.00332839	0.00121508	-0.293181	0.200143
7.5	0.00379965	0.00120413	-0.418841	0.146905
8	0.00468037	0.00127034	-0.64805	0.14411
8.5	0.0064899	0.00142421	-0.71789	0.0947915
9	0.00931961	0.00172639	-0.872112	0.0877165
