time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.0254078	0.00364444	0.928123	0.0345279
0.5	0.0159323	0.00237244	0.974688	0.0459841
1	0.00976542	0.00154466	1.00465	0.0986546
1.5	0.00595182	0.00107997	1.09994	0.228967
2	0.00350227	0.000846828	1.81459	0.775411
2.5	0.0015867	0.000778431	2.07063	2.25585
3	0.000484127	0.000765026	-0.147477	1.73042
3.5	0.000316242	0.000774811	-0.0271222	1.42715
4	0.000297648	0.000818356	-0.196301	1.94467
4.5	0.000463302	0.000901984	-0.114098	1.37442
5	0.000489841	0.000938554	0.114098	1.37442
5.5	0.000463302	0.000901984	0.196301	1.94467
6	0.000297648	0.000818356	0.0271222	1.42715
6.5	0.000316242	0.000774811	0.147477	1.73042
7	0.000484127	0.000765026	-2.07063	2.25585
7.5	0.0015867	0.000778431	-1.81459	0.775411
8	0.00350227	0.000846828	-1.09994	0.228967
8.5	0.00595182	0.00107997	-1.00465	0.0986546
9	0.00976542	0.00154466	-0.974688	0.0459841
