time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.0245611	0.00361875	0.968722	0.059515
0.5	0.0151992	0.00240021	0.966141	0.0906414
1	0.00947803	0.00167976	0.919958	0.138433
1.5	0.00603496	0.00130147	0.596979	0.171651
2	0.00450471	0.00119087	0.492187	0.166895
2.5	0.00353327	0.00110854	0.481341	0.232043
3	0.00280801	0.00105195	0.216706	0.311023
3.5	0.00259116	0.00107485	0.294781	0.588433
4	0.00246585	0.00113167	0.109027	0.701839
4.5	0.00251483	0.00121677	0.210834	0.661815
5	0.00248726	0.00125405	-0.210834	0.661815
5.5	0.00251483	0.00121677	-0.109027	0.701839
6	0.00246585	0.00113167	-0.294781	0.588433
6.5	0.00259116	0.00107485	-0.216706	0.311023
7	0.00280801	0.00105195	-0.481341	0.232043
7.5	0.00353327	0.00110854	-0.492187	0.166895
8	0.00450471	0.00119087	-0.596979	0.171651
8.5	0.00603496	0.00130147	-0.919958	0.138433
9	0.00947803	0.00167976	-0.966141	0.0906414
