time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.0246106	0.00359341	0.93391	0.0457968
0.5	0.0154633	0.00237793	0.867501	0.0566918
1	0.0100406	0.0016633	0.854238	0.0943082
1.5	0.00658566	0.00125735	0.881127	0.180928
2	0.00427219	0.00104594	1.01368	0.414843
2.5	0.00265371	0.000964214	0.705272	0.558082
3	0.00194427	0.000974047	0.904791	1.27539
3.5	0.00132747	0.000990519	0.277967	1.04783
4	0.00117787	0.00101674	-0.175691	1.13405
4.5	0.00113019	0.00106787	-0.0804887	0.503265
5	0.00113171	0.00112041	0.0804887	0.503265
5.5	0.00113019	0.00106787	0.175691	1.13405
6	0.00117787	0.00101674	-0.277967	1.04783
6.5	0.00132747	0.000990519	-0.904791	1.27539
7	0.00194427	0.000974047	-0.705272	0.558082
7.5	0.00265371	0.000964214	-1.01368	0.414843
8	0.00427219	0.00104594	-0.881127	0.180928
8.5	0.00658566	0.00125735	-0.854238	0.0943082
9	0.0100406	0.0016633	-0.867501	0.0566918
