time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.0216733	0.00311319	1.12389	0.0381412
0.5	0.0123265	0.00183051	1.11607	0.0738296
1	0.00702295	0.00112162	1.19098	0.151876
1.5	0.00389723	0.000754032	1.32956	0.302562
2	0.00210801	0.00058899	1.72694	1.27582
2.5	0.00113475	0.000577505	1.50752	2.74005
3	0.000596201	0.000610436	-0.449183	1.88835
3.5	0.000591954	0.000599644	-0.187258	1.81709
4	0.000683586	0.000571167	0.107067	1.56291
4.5	0.000575014	0.000621727	-0.073641	1.12303
5	0.000682983	0.000685526	0.073641	1.12303
5.5	0.000575014	0.000621727	-0.107067	1.56291
6	0.000683586	0.000571167	0.187258	1.81709
6.5	0.000591954	0.000599644	0.449183	1.88835
7	0.000596201	0.000610436	-1.50752	2.74005
7.5	0.00113475	0.000577505	-1.72694	1.27582
8	0.00210801	0.00058899	-1.32956	0.302562
8.5	0.00389723	0.000754032	-1.19098	0.151876
9	0.00702295	0.00112162	-1.11607	0.0738296
