time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.0226385	0.00332679	1.05379	0.0579157
0.5	0.0133638	0.00209016	1.1642	0.0796192
1	0.00748537	0.00128995	1.26481	0.121981
1.5	0.00394593	0.000824861	1.41698	0.294872
2	0.00190674	0.000667127	1.33738	0.9051
2.5	0.00108833	0.000674001	1.73254	1.99359
3	0.000523616	0.000729571	-0.186293	2.42421
3.5	0.00032047	0.000794392	-0.440495	1.64197
4	0.000656123	0.000868278	-0.223204	1.36482
4.5	0.000872067	0.00094291	-0.0763269	1.17391
5	0.00105724	0.000988625	0.0763269	1.17391
5.5	0.000872067	0.00094291	0.223204	1.36482
6	0.000656123	0.000868278	0.440495	1.64197
6.5	0.00032047	0.000794392	0.186293	2.42421
7	0.000523616	0.000729571	-1.73254	1.99359
7.5	0.00108833	0.000674001	-1.33738	0.9051
8	0.00190674	0.000667127	-1.41698	0.294872
8.5	0.00394593	0.000824861	-1.26481	0.121981
9	0.00748537	0.00128995	-1.1642	0.0796192
