time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.0215684	0.00311467	1.17078	0.0542291
0.5	0.0120786	0.00184576	1.17954	0.0881809
1	0.00671602	0.00113139	1.20659	0.15005
1.5	0.00371254	0.000745019	1.17563	0.309145
2	0.00213903	0.000602158	1.09418	0.687296
2.5	0.00134817	0.000544859	1.00421	1.16471
3	0.00098351	0.000513933	1.26286	1.96403
3.5	0.000511049	0.000524998	0.493945	2.73354
4	-1.72674e-05	0.000630407	-0.439879	2.18135
4.5	-0.000301816	0.000714097	-0.10844	1.09622
5	-0.000329322	0.000778962	0.10844	1.09622
5.5	-0.000301816	0.000714097	0.439879	2.18135
6	-1.72674e-05	0.000630407	-0.493945	2.73354
6.5	0.000511049	0.000524998	-1.26286	1.96403
7	0.00098351	0.000513933	-1.00421	1.16471
7.5	0.00134817	0.000544859	-1.09418	0.687296
8	0.00213903	0.000602158	-1.17563	0.309145
8.5	0.00371254	0.000745019	-1.20659	0.15005
9	0.00671602	0.00113139	-1.17954	0.0881809
