time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.0246638	0.00360764	0.96373	0.0468822
0.5	0.0152559	0.00235603	1.02349	0.0726288
1	0.00920425	0.00156622	1.04469	0.111608
1.5	0.00551356	0.00111186	0.942248	0.196332
2	0.00352245	0.000942668	0.984889	0.386365
2.5	0.00231592	0.00091388	1.05279	1.47425
3	0.00173575	0.000958271	-0.0902235	1.29374
3.5	0.00165672	0.00100024	0.103331	0.638783
4	0.0015624	0.00109598	-0.0643521	0.812033
4.5	0.0016377	0.00120669	0.0286303	0.946626
5	0.00164371	0.00125803	-0.0286303	0.946626
5.5	0.0016377	0.00120669	0.0643521	0.812033
6	0.0015624	0.00109598	-0.103331	0.638783
6.5	0.00165672	0.00100024	0.0902235	1.29374
7	0.00173575	0.000958271	-1.05279	1.47425
7.5	0.00231592	0.00091388	-0.984889	0.386365
8	0.00352245	0.000942668	-0.942248	0.196332
8.5	0.00551356	0.00111186	-1.04469	0.111608
9	0.00920425	0.00156622	-1.02349	0.0726288
