time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.0235587	0.00348942	0.980417	0.0586635
0.5	0.0143907	0.00230568	0.921516	0.0851138
1	0.0090827	0.00167011	0.829338	0.10161
1.5	0.00597777	0.00131718	0.685999	0.152152
2	0.00422033	0.00113465	0.557442	0.181027
2.5	0.00321011	0.00102911	0.65677	0.22599
3	0.0023353	0.000956558	0.872466	0.471754
3.5	0.00158891	0.000910591	1.05836	1.40658
4	0.00105709	0.000918175	0.671711	1.79072
4.5	0.000763483	0.00093694	0.449104	1.97324
5	0.000576894	0.000979135	-0.449104	1.97324
5.5	0.000763483	0.00093694	-0.671711	1.79072
6	0.00105709	0.000918175	-1.05836	1.40658
6.5	0.00158891	0.000910591	-0.872466	0.471754
7	0.0023353	0.000956558	-0.65677	0.22599
7.5	0.00321011	0.00102911	-0.557442	0.181027
8	0.00422033	0.00113465	-0.685999	0.152152
8.5	0.00597777	0.00131718	-0.829338	0.10161
9	0.0090827	0.00167011	-0.921516	0.0851138
