time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.0231971	0.00340047	1.04949	0.0605094
0.5	0.0137022	0.00216196	1.09682	0.093646
1	0.00793095	0.00142062	1.14955	0.137663
1.5	0.00450533	0.000973052	1.30694	0.256648
2	0.00240089	0.000706494	1.72797	0.87878
2.5	0.00111313	0.000593384	2.38683	2.66623
3	0.000378682	0.000572904	-0.0239936	3.65674
3.5	-0.000222431	0.000574895	-1.57407	1.59705
4	-0.000657056	0.000662902	0.0106475	1.26788
4.5	-0.000667886	0.00078538	-0.0316438	1.01299
5	-0.000729861	0.00084793	0.0316438	1.01299
5.5	-0.000667886	0.00078538	-0.0106475	1.26788
6	-0.000657056	0.000662902	1.57407	1.59705
6.5	-0.000222431	0.000574895	0.0239936	3.65674
7	0.000378682	0.000572904	-2.38683	2.66623
7.5	0.00111313	0.000593384	-1.72797	0.87878
8	0.00240089	0.000706494	-1.30694	0.256648
8.5	0.00450533	0.000973052	-1.14955	0.137663
9	0.00793095	0.00142062	-1.09682	0.093646
