time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.025905	0.00379163	0.887664	0.0469525
0.5	0.0166165	0.00256463	0.869886	0.0721504
1	0.0107503	0.00183968	0.875083	0.106329
1.5	0.00696073	0.00140455	1.03782	0.185224
2	0.00423704	0.00113788	1.40103	0.514624
2.5	0.00233059	0.0009967	2.07108	1.85758
3	0.00114916	0.000914925	0.4122	2.26678
3.5	0.000644915	0.000938866	-0.331013	1.03298
4	0.000752091	0.00101103	-0.265594	0.756781
4.5	0.000815315	0.00113991	-0.0306041	0.573851
5	0.000945009	0.00120882	0.0306041	0.573851
5.5	0.000815315	0.00113991	0.265594	0.756781
6	0.000752091	0.00101103	0.331013	1.03298
6.5	0.000644915	0.000938866	-0.4122	2.26678
7	0.00114916	0.000914925	-2.07108	1.85758
7.5	0.00233059	0.0009967	-1.40103	0.514624
8	0.00423704	0.00113788	-1.03782	0.185224
8.5	0.00696073	0.00140455	-0.875083	0.106329
9	0.0107503	0.00183968	-0.869886	0.0721504
