time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.0233214	0.0034298	1.00151	0.0475307
0.5	0.0141612	0.00222066	1.00359	0.0705821
1	0.00857468	0.00149861	0.918364	0.118
1.5	0.00545744	0.00111524	0.818286	0.147038
2	0.00364495	0.000888323	0.73516	0.236357
2.5	0.002526	0.000776646	0.780373	0.467808
3	0.00175017	0.000791099	1.19203	1.40649
3.5	0.00110586	0.00088497	0.196007	1.61779
4	0.00074842	0.000984167	-0.328195	1.26332
4.5	0.000947254	0.00104637	-0.334263	1.39821
5	0.00117097	0.00107523	0.334263	1.39821
5.5	0.000947254	0.00104637	0.328195	1.26332
6	0.00074842	0.000984167	-0.196007	1.61779
6.5	0.00110586	0.00088497	-1.19203	1.40649
7	0.00175017	0.000791099	-0.780373	0.467808
7.5	0.002526	0.000776646	-0.73516	0.236357
8	0.00364495	0.000888323	-0.818286	0.147038
8.5	0.00545744	0.00111524	-0.918364	0.118
9	0.00857468	0.00149861	-1.00359	0.0705821
