time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.495561	0.00693774	0.958822	0.0171845
0.5	0.306742	0.00666539	0.913771	0.025697
1	0.194093	0.00637286	0.780122	0.0348881
1.5	0.131675	0.00589944	0.650357	0.057082
2	0.0955681	0.00582577	0.51606	0.0825052
2.5	0.0744335	0.00582827	0.694127	0.110816
3	0.0536102	0.0058562	0.712707	0.175948
3.5	0.0383728	0.00605672	0.402128	0.169068
4	0.0315506	0.00647727	0.157397	0.154112
4.5	0.0287343	0.00700877	-0.0578449	0.158104
5	0.0290267	0.00743069	0.0578449	0.158104
5.5	0.0287343	0.00700877	-0.157397	0.154112
6	0.0315506	0.00647727	-0.402128	0.169068
6.5	0.0383728	0.00605672	-0.712707	0.175948
7	0.0536102	0.0058562	-0.694127	0.110816
7.5	0.0744335	0.00582827	-0.51606	0.0825052
8	0.0955681	0.00582577	-0.650357	0.057082
8.5	0.131675	0.00589944	-0.780122	0.0348881
9	0.194093	0.00637286	-0.913771	0.025697
