time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.489167	0.00752307	0.994291	0.015355
0.5	0.298147	0.00688885	0.963806	0.0263113
1	0.18434	0.00603925	0.907848	0.049985
1.5	0.117039	0.00540942	0.90307	0.0699497
2	0.0746315	0.00507147	1.09432	0.127774
2.5	0.042889	0.00500756	1.70016	0.424931
3	0.0191547	0.00510125	3.48754	2.30599
3.5	0.000646621	0.00572006	-2.3452	2.78461
4	-0.0122894	0.00655803	-0.984595	0.807584
4.5	-0.0183492	0.00724522	0.256679	0.324698
5	-0.0169277	0.00772029	-0.256679	0.324698
5.5	-0.0183492	0.00724522	0.984595	0.807584
6	-0.0122894	0.00655803	2.3452	2.78461
6.5	0.000646621	0.00572006	-3.48754	2.30599
7	0.0191547	0.00510125	-1.70016	0.424931
7.5	0.042889	0.00500756	-1.09432	0.127774
8	0.0746315	0.00507147	-0.90307	0.0699497
8.5	0.117039	0.00540942	-0.907848	0.049985
9	0.18434	0.00603925	-0.963806	0.0263113
