time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.470617	0.00745636	1.00532	0.0221022
0.5	0.285426	0.006876	1.01354	0.0310277
1	0.171893	0.0061477	0.990157	0.0469287
1.5	0.104734	0.00565714	1.10954	0.0782349
2	0.060522	0.00532845	1.21486	0.150486
2.5	0.0338821	0.00517552	1.38031	0.400331
3	0.0179186	0.00528474	1.09804	0.784726
3.5	0.0115941	0.00552856	0.658256	1.252
4	0.00919559	0.00613248	-0.775248	0.774274
4.5	0.0121824	0.00705612	-0.39788	0.566901
5	0.0145898	0.00768472	0.39788	0.566901
5.5	0.0121824	0.00705612	0.775248	0.774274
6	0.00919559	0.00613248	-0.658256	1.252
6.5	0.0115941	0.00552856	-1.09804	0.784726
7	0.0179186	0.00528474	-1.38031	0.400331
7.5	0.0338821	0.00517552	-1.21486	0.150486
8	0.060522	0.00532845	-1.10954	0.0782349
8.5	0.104734	0.00565714	-0.990157	0.0469287
9	0.171893	0.0061477	-1.01354	0.0310277
