time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.484041	0.00740419	0.982129	0.0168723
0.5	0.296472	0.00687593	0.946619	0.0315787
1	0.184364	0.00624293	0.942776	0.0452913
1.5	0.114946	0.00575571	0.867552	0.0734064
2	0.0747683	0.00530148	0.78695	0.102898
2.5	0.0506825	0.0051636	0.259926	0.120677
3	0.0445013	0.00509333	0.350232	0.114918
3.5	0.0369205	0.00525096	0.375868	0.199411
4	0.0312226	0.00574924	0.181521	0.250032
4.5	0.0289175	0.00636059	0.220978	0.171864
5	0.026026	0.00686416	-0.220978	0.171864
5.5	0.0289175	0.00636059	-0.181521	0.250032
6	0.0312226	0.00574924	-0.375868	0.199411
6.5	0.0369205	0.00525096	-0.350232	0.114918
7	0.0445013	0.00509333	-0.259926	0.120677
7.5	0.0506825	0.0051636	-0.78695	0.102898
8	0.0747683	0.00530148	-0.867552	0.0734064
8.5	0.114946	0.00575571	-0.942776	0.0452913
9	0.184364	0.00624293	-0.946619	0.0315787
