time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.516824	0.00715052	0.888638	0.0173973
0.5	0.331303	0.00680737	0.807127	0.0279873
1	0.221611	0.00648347	0.747431	0.0317349
1.5	0.152483	0.00630237	0.577029	0.0507802
2	0.113967	0.00625173	0.555988	0.0670784
2.5	0.0861456	0.00620616	0.389134	0.0706294
3	0.0711152	0.00622266	0.294163	0.0779911
3.5	0.060986	0.0063973	0.112857	0.0750764
4	0.0577767	0.00672916	0.112592	0.0912735
4.5	0.0552928	0.00733496	0.0613192	0.0823601
5	0.0541983	0.00784182	-0.0613192	0.0823601
5.5	0.0552928	0.00733496	-0.112592	0.0912735
6	0.0577767	0.00672916	-0.112857	0.0750764
6.5	0.060986	0.0063973	-0.294163	0.0779911
7	0.0711152	0.00622266	-0.389134	0.0706294
7.5	0.0861456	0.00620616	-0.555988	0.0670784
8	0.113967	0.00625173	-0.577029	0.0507802
8.5	0.152483	0.00630237	-0.747431	0.0317349
9	0.221611	0.00648347	-0.807127	0.0279873
