time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.50044	0.00809784	0.955314	0.0197905
0.5	0.309614	0.00762507	0.880464	0.0240965
1	0.199352	0.00678701	0.833783	0.035945
1.5	0.131507	0.00611629	0.750234	0.047611
2	0.090625	0.00561557	0.717927	0.07394
2.5	0.063752	0.00532085	0.762394	0.121663
3	0.0435972	0.00558984	1.37615	0.309581
3.5	0.0218681	0.00615798	2.77998	2.05966
4	0.00791876	0.00698312	0.697361	3.01332
4.5	0.00127477	0.00800057	-0.0949347	1.79323
5	0.000164212	0.00845211	0.0949347	1.79323
5.5	0.00127477	0.00800057	-0.697361	3.01332
6	0.00791876	0.00698312	-2.77998	2.05966
6.5	0.0218681	0.00615798	-1.37615	0.309581
7	0.0435972	0.00558984	-0.762394	0.121663
7.5	0.063752	0.00532085	-0.717927	0.07394
8	0.090625	0.00561557	-0.750234	0.047611
8.5	0.131507	0.00611629	-0.833783	0.035945
9	0.199352	0.00678701	-0.880464	0.0240965
