time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.509806	0.00766945	0.931881	0.0162731
0.5	0.320019	0.00721154	0.938876	0.0303083
1	0.200138	0.0066932	0.938808	0.0482504
1.5	0.125348	0.00616378	0.844148	0.0680356
2	0.0827679	0.00577278	0.573055	0.0839179
2.5	0.0626419	0.00579329	0.319342	0.0984539
3	0.0537259	0.00583482	-0.0981322	0.10979
3.5	0.056351	0.0058038	0.028547	0.107223
4	0.0558125	0.00634876	-0.0112948	0.0887537
4.5	0.056458	0.00702982	-0.0330403	0.0815801
5	0.0573121	0.00763796	0.0330403	0.0815801
5.5	0.056458	0.00702982	0.0112948	0.0887537
6	0.0558125	0.00634876	-0.028547	0.107223
6.5	0.056351	0.0058038	0.0981322	0.10979
7	0.0537259	0.00583482	-0.319342	0.0984539
7.5	0.0626419	0.00579329	-0.573055	0.0839179
8	0.0827679	0.00577278	-0.844148	0.0680356
8.5	0.125348	0.00616378	-0.938808	0.0482504
9	0.200138	0.0066932	-0.938876	0.0303083
