time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.496548	0.00695474	0.964996	0.0166135
0.5	0.306799	0.00649612	0.964317	0.0256771
1	0.189648	0.00590637	0.899859	0.0438015
1.5	0.121972	0.00555203	0.886911	0.0616595
2	0.0791135	0.00527621	1.02173	0.103848
2.5	0.0480522	0.00508076	1.40644	0.2755
3	0.0246787	0.00521297	2.1097	1.01556
3.5	0.0108628	0.00580497	1.8041	2.05547
4	0.00516668	0.00632801	-1.69171	1.89644
4.5	0.0105643	0.00692767	-0.59115	0.724629
5	0.0128248	0.00738267	0.59115	0.724629
5.5	0.0105643	0.00692767	1.69171	1.89644
6	0.00516668	0.00632801	-1.8041	2.05547
6.5	0.0108628	0.00580497	-2.1097	1.01556
7	0.0246787	0.00521297	-1.40644	0.2755
7.5	0.0480522	0.00508076	-1.02173	0.103848
8	0.0791135	0.00527621	-0.886911	0.0616595
8.5	0.121972	0.00555203	-0.899859	0.0438015
9	0.189648	0.00590637	-0.964317	0.0256771
