time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.473538	0.0058892	0.992584	0.012872
0.5	0.288836	0.00538881	1.03233	0.02464
1	0.172417	0.00474728	1.21924	0.0501288
1.5	0.0939326	0.00434144	1.73206	0.136268
2	0.0398852	0.00424542	4.35368	1.5551
2.5	0.00579133	0.0042314	-2.0571	2.24225
3	-0.0129706	0.00429393	-1.16864	0.466529
3.5	-0.022389	0.00456352	-0.466353	0.192183
4	-0.0285051	0.00507504	-0.0263573	0.175398
4.5	-0.0284798	0.00565012	0.201528	0.137701
5	-0.0257836	0.00608225	-0.201528	0.137701
5.5	-0.0284798	0.00565012	0.0263573	0.175398
6	-0.0285051	0.00507504	0.466353	0.192183
6.5	-0.022389	0.00456352	1.16864	0.466529
7	-0.0129706	0.00429393	2.0571	2.24225
7.5	0.00579133	0.0042314	-4.35368	1.5551
8	0.0398852	0.00424542	-1.73206	0.136268
8.5	0.0939326	0.00434144	-1.21924	0.0501288
9	0.172417	0.00474728	-1.03233	0.02464
