time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.427026	0.00581737	1.14187	0.0217084
0.5	0.241134	0.00520438	1.116	0.0297393
1	0.137564	0.00439704	1.24884	0.0639702
1.5	0.0733541	0.00387738	1.31566	0.119492
2	0.0372208	0.00374699	1.81953	0.348558
2.5	0.0150666	0.0035445	2.85183	1.56967
3	0.003198	0.00359651	1.2634	2.82128
3.5	4.44133e-05	0.00379227	-0.450482	3.44463
4	-0.00415399	0.0042116	-2.0055	1.76078
4.5	-0.00913627	0.00479602	0.136096	0.92821
5	-0.00945462	0.00531604	-0.136096	0.92821
5.5	-0.00913627	0.00479602	2.0055	1.76078
6	-0.00415399	0.0042116	0.450482	3.44463
6.5	4.44133e-05	0.00379227	-1.2634	2.82128
7	0.003198	0.00359651	-2.85183	1.56967
7.5	0.0150666	0.0035445	-1.81953	0.348558
8	0.0372208	0.00374699	-1.31566	0.119492
8.5	0.0733541	0.00387738	-1.24884	0.0639702
9	0.137564	0.00439704	-1.116	0.0297393
