time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.432832	0.00533605	1.10418	0.0167999
0.5	0.249208	0.00490735	1.1323	0.0299704
1	0.141836	0.00432754	1.19099	0.0618978
1.5	0.078299	0.00415837	1.14186	0.115186
2	0.0446779	0.0042809	0.669285	0.154575
2.5	0.0325265	0.00436031	0.755176	0.236607
3	0.022636	0.00446339	1.01456	0.497258
3.5	0.0140676	0.00474121	-0.225891	0.493656
4	0.0163332	0.00521085	0.237194	0.763516
4.5	0.0159358	0.00599894	-0.040858	0.388355
5	0.0163153	0.00658144	0.040858	0.388355
5.5	0.0159358	0.00599894	-0.237194	0.763516
6	0.0163332	0.00521085	0.225891	0.493656
6.5	0.0140676	0.00474121	-1.01456	0.497258
7	0.022636	0.00446339	-0.755176	0.236607
7.5	0.0325265	0.00436031	-0.669285	0.154575
8	0.0446779	0.0042809	-1.14186	0.115186
8.5	0.078299	0.00415837	-1.19099	0.0618978
9	0.141836	0.00432754	-1.1323	0.0299704
