time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.431788	0.00600919	1.09903	0.0226016
0.5	0.249157	0.0054482	1.09003	0.0330462
1	0.144305	0.00479664	1.15921	0.0604763
1.5	0.0809252	0.00428517	1.13433	0.109328
2	0.0468385	0.00386834	1.11683	0.164736
2.5	0.0271884	0.00370857	1.88866	0.793772
3	0.0116894	0.00380272	2.92872	2.52683
3.5	0.0010399	0.00400698	0.292963	2.92634
4	7.46122e-05	0.00456786	-1.19602	2.86027
4.5	-0.00284786	0.00523912	0.0936802	1.71758
5	-0.000429148	0.00578894	-0.0936802	1.71758
5.5	-0.00284786	0.00523912	1.19602	2.86027
6	7.46122e-05	0.00456786	-0.292963	2.92634
6.5	0.0010399	0.00400698	-2.92872	2.52683
7	0.0116894	0.00380272	-1.88866	0.793772
7.5	0.0271884	0.00370857	-1.11683	0.164736
8	0.0468385	0.00386834	-1.13433	0.109328
8.5	0.0809252	0.00428517	-1.15921	0.0604763
9	0.144305	0.00479664	-1.09003	0.0330462
