time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.517959	0.00768805	0.887062	0.0170806
0.5	0.332469	0.00729655	0.810989	0.0259644
1	0.221764	0.00678117	0.680474	0.0326648
1.5	0.15835	0.00639505	0.711088	0.0499558
2	0.111677	0.00621484	0.841287	0.0907121
2.5	0.0743063	0.00614625	1.39927	0.253702
3	0.0387836	0.00640972	2.80789	2.02321
3.5	0.0136489	0.00700918	1.35299	3.57871
4	0.00017941	0.00761189	-0.654482	2.44694
4.5	-0.00444381	0.00813705	-0.230645	1.00434
5	-0.00473614	0.00853133	0.230645	1.00434
5.5	-0.00444381	0.00813705	0.654482	2.44694
6	0.00017941	0.00761189	-1.35299	3.57871
6.5	0.0136489	0.00700918	-2.80789	2.02321
7	0.0387836	0.00640972	-1.39927	0.253702
7.5	0.0743063	0.00614625	-0.841287	0.0907121
8	0.111677	0.00621484	-0.711088	0.0499558
8.5	0.15835	0.00639505	-0.680474	0.0326648
9	0.221764	0.00678117	-0.810989	0.0259644
