time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.501064	0.00750678	0.95165	0.016332
0.5	0.311476	0.00694649	0.990604	0.027697
1	0.189834	0.0062929	0.992545	0.0515662
1.5	0.115674	0.00580444	0.859025	0.0598727
2	0.0754464	0.00524518	0.72776	0.0831464
2.5	0.0531966	0.0048322	0.854032	0.144756
3	0.0355546	0.00486478	0.798636	0.234161
3.5	0.0248571	0.00546061	1.9115	0.856274
4	0.011203	0.00613534	1.84897	2.22621
4.5	0.00334043	0.0069165	-0.270992	2.80009
5	-0.00204678	0.0075935	0.270992	2.80009
5.5	0.00334043	0.0069165	-1.84897	2.22621
6	0.011203	0.00613534	-1.9115	0.856274
6.5	0.0248571	0.00546061	-0.798636	0.234161
7	0.0355546	0.00486478	-0.854032	0.144756
7.5	0.0531966	0.0048322	-0.72776	0.0831464
8	0.0754464	0.00524518	-0.859025	0.0598727
8.5	0.115674	0.00580444	-0.992545	0.0515662
9	0.189834	0.0062929	-0.990604	0.027697
