time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.464013	0.00625801	1.06668	0.0162001
0.5	0.272101	0.00575574	1.12711	0.0288184
1	0.155171	0.00513828	1.3066	0.0715843
1.5	0.0812925	0.00468936	1.75031	0.145318
2	0.0346319	0.00433114	4.36494	1.40773
2.5	0.00491908	0.00405453	-2.96205	1.7762
3	-0.0164137	0.00404959	-1.19428	0.298277
3.5	-0.0299529	0.00431807	-0.577855	0.112099
4	-0.0399829	0.00497724	-0.205832	0.114262
4.5	-0.0442388	0.00588686	-0.191994	0.0945727
5	-0.0487536	0.00664226	0.191994	0.0945727
5.5	-0.0442388	0.00588686	0.205832	0.114262
6	-0.0399829	0.00497724	0.577855	0.112099
6.5	-0.0299529	0.00431807	1.19428	0.298277
7	-0.0164137	0.00404959	2.96205	1.7762
7.5	0.00491908	0.00405453	-4.36494	1.40773
8	0.0346319	0.00433114	-1.75031	0.145318
8.5	0.0812925	0.00468936	-1.3066	0.0715843
9	0.155171	0.00513828	-1.12711	0.0288184
