time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.508897	0.00645336	1.00975	0.0174868
0.5	0.307363	0.00589146	1.06431	0.0270538
1	0.180271	0.00522547	1.15673	0.0514548
1.5	0.101337	0.00497223	1.45158	0.123482
2	0.0494816	0.00477969	1.83744	0.364462
2.5	0.0203056	0.004601	3.63865	2.20173
3	0.00359958	0.00449403	-0.0714397	3.56932
3.5	-0.00336312	0.00477168	-0.44114	1.96472
4	-0.0050336	0.00535265	0.759544	2.52477
4.5	-0.00312831	0.00622072	-0.27752	2.44085
5	-0.00381643	0.00691456	0.27752	2.44085
5.5	-0.00312831	0.00622072	-0.759544	2.52477
6	-0.0050336	0.00535265	0.44114	1.96472
6.5	-0.00336312	0.00477168	0.0714397	3.56932
7	0.00359958	0.00449403	-3.63865	2.20173
7.5	0.0203056	0.004601	-1.83744	0.364462
8	0.0494816	0.00477969	-1.45158	0.123482
8.5	0.101337	0.00497223	-1.15673	0.0514548
9	0.180271	0.00522547	-1.06431	0.0270538
