time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.510536	0.00733464	0.923329	0.0174319
0.5	0.322522	0.00696137	0.859525	0.0240335
1	0.210424	0.00645524	0.872141	0.0411212
1.5	0.137105	0.00635113	0.827272	0.0527461
2	0.0912881	0.00619779	0.571846	0.0728008
2.5	0.0690573	0.00628731	0.391889	0.0894116
3	0.0565466	0.00639316	0.245438	0.102766
3.5	0.0499613	0.0063588	0.114814	0.106813
4	0.0471329	0.00653041	0.0855224	0.0935936
4.5	0.0458178	0.00694525	0.0305582	0.0961483
5	0.0450574	0.00751397	-0.0305582	0.0961483
5.5	0.0458178	0.00694525	-0.0855224	0.0935936
6	0.0471329	0.00653041	-0.114814	0.106813
6.5	0.0499613	0.0063588	-0.245438	0.102766
7	0.0565466	0.00639316	-0.391889	0.0894116
7.5	0.0690573	0.00628731	-0.571846	0.0728008
8	0.0912881	0.00619779	-0.827272	0.0527461
8.5	0.137105	0.00635113	-0.872141	0.0411212
9	0.210424	0.00645524	-0.859525	0.0240335
