time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.469417	0.0064006	1.01575	0.0132245
0.5	0.281908	0.00580055	1.15568	0.0300422
1	0.158289	0.0052819	1.24616	0.0627148
1.5	0.0848051	0.00502049	1.42241	0.126285
2	0.0418927	0.00475644	1.72493	0.299421
2.5	0.0179738	0.00455979	4.02609	2.29512
3	0.00034721	0.00452673	-2.26894	3.33405
3.5	-0.00924625	0.00467332	-1.57893	1.23116
4	-0.0169994	0.00517903	-0.379166	0.330062
4.5	-0.0198948	0.0060642	0.128875	0.257928
5	-0.0189152	0.00669678	-0.128875	0.257928
5.5	-0.0198948	0.0060642	0.379166	0.330062
6	-0.0169994	0.00517903	1.57893	1.23116
6.5	-0.00924625	0.00467332	2.26894	3.33405
7	0.00034721	0.00452673	-4.02609	2.29512
7.5	0.0179738	0.00455979	-1.72493	0.299421
8	0.0418927	0.00475644	-1.42241	0.126285
8.5	0.0848051	0.00502049	-1.24616	0.0627148
9	0.158289	0.0052819	-1.15568	0.0300422
