time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.497981	0.00708203	0.983401	0.0182299
0.5	0.305034	0.00652901	1.04444	0.0286646
1	0.181564	0.00594519	1.07234	0.0494431
1.5	0.106277	0.00595269	1.10101	0.0866587
2	0.0610539	0.00604319	1.01788	0.121125
2.5	0.0362938	0.00610305	0.997551	0.249748
3	0.0220626	0.00601392	1.41688	1.07645
3.5	0.0115828	0.0060767	-0.123294	0.831433
4	0.0115409	0.00640587	-0.640268	0.533194
4.5	0.0163331	0.00689611	-0.156262	0.301639
5	0.0174031	0.00741575	0.156262	0.301639
5.5	0.0163331	0.00689611	0.640268	0.533194
6	0.0115409	0.00640587	0.123294	0.831433
6.5	0.0115828	0.0060767	-1.41688	1.07645
7	0.0220626	0.00601392	-0.997551	0.249748
7.5	0.0362938	0.00610305	-1.01788	0.121125
8	0.0610539	0.00604319	-1.10101	0.0866587
8.5	0.106277	0.00595269	-1.07234	0.0494431
9	0.181564	0.00594519	-1.04444	0.0286646
