time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.53727	0.00820388	0.905316	0.019883
0.5	0.342293	0.00761975	0.880118	0.0274822
1	0.220494	0.00702633	0.820011	0.0379235
1.5	0.145865	0.00676846	0.759049	0.0508945
2	0.100054	0.00653348	0.633246	0.0709472
2.5	0.0722956	0.00643025	0.722743	0.132476
3	0.0500632	0.00645607	1.01874	0.266671
3.5	0.0303364	0.00678237	0.743299	0.38171
4	0.0214886	0.0073028	0.814894	1.18551
4.5	0.016781	0.00784617	0.511203	1.17141
5	0.0129666	0.00840101	-0.511203	1.17141
5.5	0.016781	0.00784617	-0.814894	1.18551
6	0.0214886	0.0073028	-0.743299	0.38171
6.5	0.0303364	0.00678237	-1.01874	0.266671
7	0.0500632	0.00645607	-0.722743	0.132476
7.5	0.0722956	0.00643025	-0.633246	0.0709472
8	0.100054	0.00653348	-0.759049	0.0508945
8.5	0.145865	0.00676846	-0.820011	0.0379235
9	0.220494	0.00702633	-0.880118	0.0274822
