time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.475433	0.00697013	1.02105	0.019735
0.5	0.285574	0.00650722	1.02485	0.0332791
1	0.171309	0.00580134	1.04131	0.0537765
1.5	0.101944	0.00523485	1.16439	0.115884
2	0.0577908	0.00503324	1.30188	0.210374
2.5	0.0307025	0.00504638	1.57999	0.581874
3	0.0145467	0.00502484	2.59465	1.51379
3.5	0.00307391	0.00501849	0.375897	2.22215
4	0.000912442	0.00541225	-0.367837	1.89669
4.5	0.000867828	0.00610398	0.266783	1.87672
5	0.00246079	0.00674299	-0.266783	1.87672
5.5	0.000867828	0.00610398	0.367837	1.89669
6	0.000912442	0.00541225	-0.375897	2.22215
6.5	0.00307391	0.00501849	-2.59465	1.51379
7	0.0145467	0.00502484	-1.57999	0.581874
7.5	0.0307025	0.00504638	-1.30188	0.210374
8	0.0577908	0.00503324	-1.16439	0.115884
8.5	0.101944	0.00523485	-1.04131	0.0537765
9	0.171309	0.00580134	-1.02485	0.0332791
