time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.483272	0.00709165	1.00751	0.0188655
0.5	0.29239	0.00664784	0.995387	0.0321144
1	0.178152	0.00610204	1.07823	0.0649751
1.5	0.103816	0.00582507	1.1059	0.102537
2	0.0598348	0.00558103	1.13322	0.18745
2.5	0.0346	0.00548438	0.977422	0.324025
3	0.0217091	0.00557526	0.249641	0.357152
3.5	0.019722	0.00576215	0.755841	0.858039
4	0.0150372	0.00610894	1.37462	1.78684
4.5	0.00804451	0.00662103	0.356286	1.58085
5	0.00559452	0.00709501	-0.356286	1.58085
5.5	0.00804451	0.00662103	-1.37462	1.78684
6	0.0150372	0.00610894	-0.755841	0.858039
6.5	0.019722	0.00576215	-0.249641	0.357152
7	0.0217091	0.00557526	-0.977422	0.324025
7.5	0.0346	0.00548438	-1.13322	0.18745
8	0.0598348	0.00558103	-1.1059	0.102537
8.5	0.103816	0.00582507	-1.07823	0.0649751
9	0.178152	0.00610204	-0.995387	0.0321144
