time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.487278	0.007288	0.988166	0.0187519
0.5	0.296746	0.0068324	0.970504	0.0310709
1	0.182402	0.00623034	0.955593	0.0563486
1.5	0.11255	0.00579659	1.04806	0.0917605
2	0.066431	0.00558587	1.03952	0.140018
2.5	0.0391242	0.00555187	1.3427	0.352246
3	0.0203671	0.00554474	1.31553	0.947634
3.5	0.0119409	0.00577392	2.01094	2.16858
4	0.00482879	0.00615298	0.211483	2.30551
4.5	0.00263296	0.00676627	0.120665	1.97308
5	0.00183381	0.00728626	-0.120665	1.97308
5.5	0.00263296	0.00676627	-0.211483	2.30551
6	0.00482879	0.00615298	-2.01094	2.16858
6.5	0.0119409	0.00577392	-1.31553	0.947634
7	0.0203671	0.00554474	-1.3427	0.352246
7.5	0.0391242	0.00555187	-1.03952	0.140018
8	0.066431	0.00558587	-1.04806	0.0917605
8.5	0.11255	0.00579659	-0.955593	0.0563486
9	0.182402	0.00623034	-0.970504	0.0310709
