time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.49226	0.00726042	0.992609	0.0201862
0.5	0.299756	0.00675073	1.01652	0.0331207
1	0.181109	0.00621189	0.980035	0.0533623
1.5	0.111287	0.00577637	1.01329	0.0813699
2	0.0669311	0.00557783	0.998135	0.16755
2.5	0.0414452	0.00550104	1.16163	0.324042
3	0.0244077	0.00564142	1.58377	1.66197
3.5	0.0151184	0.00582768	0.899193	2.14825
4	0.00909592	0.00617737	0.991309	2.36578
4.5	0.0039247	0.0067888	-0.178847	1.58702
5	0.00328637	0.00736607	0.178847	1.58702
5.5	0.0039247	0.0067888	-0.991309	2.36578
6	0.00909592	0.00617737	-0.899193	2.14825
6.5	0.0151184	0.00582768	-1.58377	1.66197
7	0.0244077	0.00564142	-1.16163	0.324042
7.5	0.0414452	0.00550104	-0.998135	0.16755
8	0.0669311	0.00557783	-1.01329	0.0813699
8.5	0.111287	0.00577637	-0.980035	0.0533623
9	0.181109	0.00621189	-1.01652	0.0331207
