time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.480594	0.00718383	1.01129	0.0164122
0.5	0.289309	0.00665747	0.999403	0.0304501
1	0.175352	0.00605705	1.09275	0.0544173
1.5	0.101557	0.00561645	1.05126	0.0800857
2	0.0600631	0.00524835	1.0791	0.178208
2.5	0.0356249	0.00522975	1.05177	0.262408
3	0.0214564	0.00533335	0.616136	0.369159
3.5	0.015473	0.00562864	-0.319266	0.364782
4	0.0175994	0.00603507	0.132837	0.349912
4.5	0.0161541	0.0067128	0.3652	1.33065
5	0.0150772	0.00714989	-0.3652	1.33065
5.5	0.0161541	0.0067128	-0.132837	0.349912
6	0.0175994	0.00603507	0.319266	0.364782
6.5	0.015473	0.00562864	-0.616136	0.369159
7	0.0214564	0.00533335	-1.05177	0.262408
7.5	0.0356249	0.00522975	-1.0791	0.178208
8	0.0600631	0.00524835	-1.05126	0.0800857
8.5	0.101557	0.00561645	-1.09275	0.0544173
9	0.175352	0.00605705	-0.999403	0.0304501
