time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.488072	0.00739555	0.975796	0.0203104
0.5	0.299867	0.00704984	0.976403	0.0288181
1	0.184048	0.00639473	0.961242	0.0550955
1.5	0.1142	0.00599275	0.925015	0.0865597
2	0.0723547	0.00566656	0.830452	0.119234
2.5	0.0482697	0.00560626	0.992699	0.239683
3	0.0297433	0.00563891	1.24711	0.573456
3.5	0.0171707	0.00573044	0.438637	0.677441
4	0.0144657	0.00613612	0.60951	0.996159
4.5	0.0110715	0.00672517	0.654795	1.95171
5	0.00813476	0.00726752	-0.654795	1.95171
5.5	0.0110715	0.00672517	-0.60951	0.996159
6	0.0144657	0.00613612	-0.438637	0.677441
6.5	0.0171707	0.00573044	-1.24711	0.573456
7	0.0297433	0.00563891	-0.992699	0.239683
7.5	0.0482697	0.00560626	-0.830452	0.119234
8	0.0723547	0.00566656	-0.925015	0.0865597
8.5	0.1142	0.00599275	-0.961242	0.0550955
9	0.184048	0.00639473	-0.976403	0.0288181
