time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.474939	0.00676777	1.03679	0.0155283
0.5	0.282776	0.00618469	1.07805	0.029104
1	0.16486	0.00540438	1.12895	0.0466242
1.5	0.0935017	0.0049354	1.21493	0.0919812
2	0.0508063	0.00461615	1.40196	0.192511
2.5	0.0252729	0.00449288	1.69466	0.562676
3	0.0111363	0.00461485	3.26484	2.01855
3.5	0.000858198	0.00485395	-1.33239	2.87206
4	-0.00416484	0.00528574	-1.5176	2.0397
4.5	-0.0104008	0.00582027	-0.476128	1.18453
5	-0.0129137	0.00639161	0.476128	1.18453
5.5	-0.0104008	0.00582027	1.5176	2.0397
6	-0.00416484	0.00528574	1.33239	2.87206
6.5	0.000858198	0.00485395	-3.26484	2.01855
7	0.0111363	0.00461485	-1.69466	0.562676
7.5	0.0252729	0.00449288	-1.40196	0.192511
8	0.0508063	0.00461615	-1.21493	0.0919812
8.5	0.0935017	0.0049354	-1.12895	0.0466242
9	0.16486	0.00540438	-1.07805	0.029104
