time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.480192	0.00693011	1.00424	0.0217313
0.5	0.290326	0.00644948	1.0165	0.0317424
1	0.174538	0.005779	1.05387	0.0581578
1.5	0.102507	0.0053755	1.08295	0.100193
2	0.0593601	0.00512012	0.966023	0.148812
2.5	0.0367081	0.00511084	0.919867	0.262464
3	0.0234095	0.00517122	1.03997	0.512484
3.5	0.0150222	0.00522324	1.81848	2.06889
4	0.00864661	0.00571171	-0.165581	1.60856
4.5	0.00850856	0.00637925	0.160289	1.05601
5	0.00711228	0.00695004	-0.160289	1.05601
5.5	0.00850856	0.00637925	0.165581	1.60856
6	0.00864661	0.00571171	-1.81848	2.06889
6.5	0.0150222	0.00522324	-1.03997	0.512484
7	0.0234095	0.00517122	-0.919867	0.262464
7.5	0.0367081	0.00511084	-0.966023	0.148812
8	0.0593601	0.00512012	-1.08295	0.100193
8.5	0.102507	0.0053755	-1.05387	0.0581578
9	0.174538	0.005779	-1.0165	0.0317424
