time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.486832	0.00724093	1.00541	0.0182789
0.5	0.295322	0.00664522	0.994245	0.0308185
1	0.180572	0.00602955	0.962902	0.0517714
1.5	0.111402	0.00565934	0.878943	0.0636248
2	0.0719549	0.00532408	0.861533	0.0832022
2.5	0.0466072	0.00515699	0.932268	0.210755
3	0.0288861	0.00521175	0.807927	0.376484
3.5	0.0195899	0.0054993	0.469147	0.407471
4	0.0161095	0.00609378	0.605299	0.892312
4.5	0.0131053	0.00681011	-0.272456	1.39497
5	0.0151633	0.00741284	0.272456	1.39497
5.5	0.0131053	0.00681011	-0.605299	0.892312
6	0.0161095	0.00609378	-0.469147	0.407471
6.5	0.0195899	0.0054993	-0.807927	0.376484
7	0.0288861	0.00521175	-0.932268	0.210755
7.5	0.0466072	0.00515699	-0.861533	0.0832022
8	0.0719549	0.00532408	-0.878943	0.0636248
8.5	0.111402	0.00565934	-0.962902	0.0517714
9	0.180572	0.00602955	-0.994245	0.0308185
