time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.483389	0.00739002	0.990186	0.0177715
0.5	0.295549	0.00681481	0.947588	0.0282969
1	0.185015	0.00609193	0.960829	0.0535092
1.5	0.115309	0.00559908	1.13745	0.0967509
2	0.0662392	0.00536909	1.18199	0.181307
2.5	0.037364	0.00535424	1.13593	0.336303
3	0.0219318	0.00525366	1.45094	1.1094
3.5	0.0126703	0.00540066	1.35637	2.01235
4	0.00654818	0.00584749	-0.385206	2.56968
4.5	0.0087429	0.00637946	-0.714668	1.53508
5	0.0109943	0.00692018	0.714668	1.53508
5.5	0.0087429	0.00637946	0.385206	2.56968
6	0.00654818	0.00584749	-1.35637	2.01235
6.5	0.0126703	0.00540066	-1.45094	1.1094
7	0.0219318	0.00525366	-1.13593	0.336303
7.5	0.037364	0.00535424	-1.18199	0.181307
8	0.0662392	0.00536909	-1.13745	0.0967509
8.5	0.115309	0.00559908	-0.960829	0.0535092
9	0.185015	0.00609193	-0.947588	0.0282969
