time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.496952	0.00765589	0.948139	0.0201525
0.5	0.308796	0.00728242	0.948099	0.0294572
1	0.191523	0.00667815	0.926448	0.0400739
1.5	0.1199	0.00635932	0.88158	0.0760291
2	0.0767264	0.00610749	0.713894	0.107622
2.5	0.0530853	0.00605648	0.801549	0.17717
3	0.0353796	0.00620213	0.745303	0.283088
3.5	0.0251848	0.00630232	0.494234	0.397311
4	0.0213292	0.00673937	-0.0813526	0.470708
4.5	0.0234625	0.00737127	0.354962	0.398695
5	0.0211242	0.00791024	-0.354962	0.398695
5.5	0.0234625	0.00737127	0.0813526	0.470708
6	0.0213292	0.00673937	-0.494234	0.397311
6.5	0.0251848	0.00630232	-0.745303	0.283088
7	0.0353796	0.00620213	-0.801549	0.17717
7.5	0.0530853	0.00605648	-0.713894	0.107622
8	0.0767264	0.00610749	-0.88158	0.0760291
8.5	0.1199	0.00635932	-0.926448	0.0400739
9	0.191523	0.00667815	-0.948099	0.0294572
