time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.470324	0.00670242	1.01893	0.017841
0.5	0.282306	0.00625555	1.0624	0.032287
1	0.165945	0.00560811	1.06224	0.0530705
1.5	0.0979322	0.00525219	0.986741	0.0809561
2	0.0597954	0.00504389	1.20012	0.175102
2.5	0.0326566	0.00487858	0.701991	0.219119
3	0.0228542	0.00489083	0.581743	0.26419
3.5	0.0175474	0.00516104	0.920077	0.576062
4	0.0117968	0.00567279	0.858661	0.989413
4.5	0.00886313	0.00638001	1.88035	3.21099
5	0.00422645	0.00690005	-1.88035	3.21099
5.5	0.00886313	0.00638001	-0.858661	0.989413
6	0.0117968	0.00567279	-0.920077	0.576062
6.5	0.0175474	0.00516104	-0.581743	0.26419
7	0.0228542	0.00489083	-0.701991	0.219119
7.5	0.0326566	0.00487858	-1.20012	0.175102
8	0.0597954	0.00504389	-0.986741	0.0809561
8.5	0.0979322	0.00525219	-1.06224	0.0530705
9	0.165945	0.00560811	-1.0624	0.032287
