time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.488055	0.00733894	0.985533	0.0177058
0.5	0.29842	0.00676225	0.960779	0.0308902
1	0.184057	0.00603779	0.972546	0.049453
1.5	0.112695	0.00550184	1.02075	0.0884513
2	0.0670374	0.00527962	0.983066	0.144852
2.5	0.0406055	0.00517484	0.860679	0.195423
3	0.0262055	0.00521108	0.977086	0.479777
3.5	0.0164501	0.00543392	0.308732	0.375986
4	0.0145104	0.00590386	0.0583155	0.571903
4.5	0.0138684	0.00652128	-0.134927	0.334015
5	0.0151207	0.00697088	0.134927	0.334015
5.5	0.0138684	0.00652128	-0.0583155	0.571903
6	0.0145104	0.00590386	-0.308732	0.375986
6.5	0.0164501	0.00543392	-0.977086	0.479777
7	0.0262055	0.00521108	-0.860679	0.195423
7.5	0.0406055	0.00517484	-0.983066	0.144852
8	0.0670374	0.00527962	-1.02075	0.0884513
8.5	0.112695	0.00550184	-0.972546	0.049453
9	0.184057	0.00603779	-0.960779	0.0308902
