time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.490382	0.007437	1.00802	0.0184187
0.5	0.296574	0.00698787	0.935305	0.0290044
1	0.185688	0.00636247	0.963242	0.0419038
1.5	0.115302	0.00593489	1.07525	0.0729953
2	0.0671778	0.00567178	0.999666	0.127425
2.5	0.0401961	0.00548102	0.920807	0.201307
3	0.0251269	0.0053077	1.20949	0.489023
3.5	0.0143001	0.00540381	2.05816	1.47821
4	0.00649891	0.00592553	0.728247	2.12042
4.5	0.00510827	0.00665025	0.00243992	2.42159
5	0.0029561	0.00730036	-0.00243992	2.42159
5.5	0.00510827	0.00665025	-0.728247	2.12042
6	0.00649891	0.00592553	-2.05816	1.47821
6.5	0.0143001	0.00540381	-1.20949	0.489023
7	0.0251269	0.0053077	-0.920807	0.201307
7.5	0.0401961	0.00548102	-0.999666	0.127425
8	0.0671778	0.00567178	-1.07525	0.0729953
8.5	0.115302	0.00593489	-0.963242	0.0419038
9	0.185688	0.00636247	-0.935305	0.0290044
