time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.486109	0.00718962	0.982619	0.017239
0.5	0.297308	0.00673008	1.00409	0.0293198
1	0.179528	0.00613896	0.96783	0.041414
1.5	0.110541	0.00566727	1.04235	0.0733411
2	0.0656787	0.00535665	1.06825	0.141779
2.5	0.038805	0.00532919	0.981118	0.240957
3	0.023335	0.00554006	0.733284	0.376422
3.5	0.015948	0.00568935	0.869239	1.82764
4	0.0123647	0.00611341	-0.285487	1.47051
4.5	0.0127531	0.00673179	0.917494	1.36309
5	0.00881205	0.00725971	-0.917494	1.36309
5.5	0.0127531	0.00673179	0.285487	1.47051
6	0.0123647	0.00611341	-0.869239	1.82764
6.5	0.015948	0.00568935	-0.733284	0.376422
7	0.023335	0.00554006	-0.981118	0.240957
7.5	0.038805	0.00532919	-1.06825	0.141779
8	0.0656787	0.00535665	-1.04235	0.0733411
8.5	0.110541	0.00566727	-0.96783	0.041414
9	0.179528	0.00613896	-1.00409	0.0293198
