time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.481648	0.00701426	0.999117	0.0183715
0.5	0.292948	0.00646157	1.00866	0.0326474
1	0.177802	0.00588411	0.979045	0.0443871
1.5	0.109522	0.00544515	1.03432	0.0955593
2	0.0652957	0.00532837	1.00656	0.153085
2.5	0.0390387	0.00530793	0.919993	0.241817
3	0.0244896	0.00538127	0.832503	0.444518
3.5	0.0169412	0.00575129	-0.178798	0.315199
4	0.0188474	0.00628727	-0.0370365	0.417776
4.5	0.0200038	0.00689348	0.277608	0.313452
5	0.0178848	0.00737252	-0.277608	0.313452
5.5	0.0200038	0.00689348	0.0370365	0.417776
6	0.0188474	0.00628727	0.178798	0.315199
6.5	0.0169412	0.00575129	-0.832503	0.444518
7	0.0244896	0.00538127	-0.919993	0.241817
7.5	0.0390387	0.00530793	-1.00656	0.153085
8	0.0652957	0.00532837	-1.03432	0.0955593
8.5	0.109522	0.00544515	-0.979045	0.0443871
9	0.177802	0.00588411	-1.00866	0.0326474
