time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.486749	0.00713771	0.986802	0.0175939
0.5	0.296873	0.00655978	1.01463	0.029564
1	0.178591	0.00579424	1.04301	0.0478107
1.5	0.105633	0.00542816	1.06082	0.0857326
2	0.0617234	0.00535312	1.14981	0.15072
2.5	0.0338993	0.00525011	1.02981	0.234063
3	0.0201515	0.00523192	0.338932	0.292411
3.5	0.017664	0.00538796	0.357053	0.398931
4	0.0157729	0.00562279	0.767565	0.82901
4.5	0.0117069	0.00621279	1.13236	2.14944
5	0.00817369	0.00674948	-1.13236	2.14944
5.5	0.0117069	0.00621279	-0.767565	0.82901
6	0.0157729	0.00562279	-0.357053	0.398931
6.5	0.017664	0.00538796	-0.338932	0.292411
7	0.0201515	0.00523192	-1.02981	0.234063
7.5	0.0338993	0.00525011	-1.14981	0.15072
8	0.0617234	0.00535312	-1.06082	0.0857326
8.5	0.105633	0.00542816	-1.04301	0.0478107
9	0.178591	0.00579424	-1.01463	0.029564
