time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.474535	0.00673739	1.00277	0.0160452
0.5	0.287313	0.00628943	1.01378	0.030432
1	0.173322	0.00565365	0.965234	0.0481299
1.5	0.106774	0.00525401	1.01901	0.0728382
2	0.0646888	0.0050141	0.973295	0.127468
2.5	0.0395533	0.00490167	0.904167	0.240612
3	0.0247924	0.00487503	0.758462	0.267524
3.5	0.0173274	0.00495391	1.22032	0.735733
4	0.0100056	0.00536934	1.77452	2.19416
4.5	0.00261925	0.00606062	0.139854	1.85293
5	0.00155219	0.00660194	-0.139854	1.85293
5.5	0.00261925	0.00606062	-1.77452	2.19416
6	0.0100056	0.00536934	-1.22032	0.735733
6.5	0.0173274	0.00495391	-0.758462	0.267524
7	0.0247924	0.00487503	-0.904167	0.240612
7.5	0.0395533	0.00490167	-0.973295	0.127468
8	0.0646888	0.0050141	-1.01901	0.0728382
8.5	0.106774	0.00525401	-0.965234	0.0481299
9	0.173322	0.00565365	-1.01378	0.030432
