time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.476264	0.00705891	1.03189	0.0195409
0.5	0.28426	0.00665658	0.994967	0.0318197
1	0.172367	0.00618009	0.949561	0.0468383
1.5	0.107074	0.00589705	0.864031	0.0805869
2	0.0694168	0.0058229	0.779803	0.106849
2.5	0.0473176	0.00576198	0.715189	0.139301
3	0.0332369	0.00573334	0.446696	0.181331
3.5	0.026489	0.00568763	0.48001	0.28069
4	0.0207932	0.0059082	0.19409	0.409248
4.5	0.0188122	0.00640679	0.18722	0.648296
5	0.0175611	0.00687282	-0.18722	0.648296
5.5	0.0188122	0.00640679	-0.19409	0.409248
6	0.0207932	0.0059082	-0.48001	0.28069
6.5	0.026489	0.00568763	-0.446696	0.181331
7	0.0332369	0.00573334	-0.715189	0.139301
7.5	0.0473176	0.00576198	-0.779803	0.106849
8	0.0694168	0.0058229	-0.864031	0.0805869
8.5	0.107074	0.00589705	-0.949561	0.0468383
9	0.172367	0.00618009	-0.994967	0.0318197
