time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.485756	0.00714348	0.976251	0.0174392
0.5	0.297863	0.00664366	0.970135	0.0296414
1	0.183371	0.00606157	0.98014	0.0477839
1.5	0.112603	0.00564055	0.954236	0.0658295
2	0.0701563	0.00541748	0.871968	0.104441
2.5	0.0459737	0.00534376	1.16814	0.199461
3	0.0261065	0.00547044	1.26695	0.585291
3.5	0.0147268	0.00566277	0.674968	0.892325
4	0.01161	0.00608458	0.235263	0.682611
4.5	0.010287	0.00668662	-0.18515	0.951838
5	0.0117158	0.00722519	0.18515	0.951838
5.5	0.010287	0.00668662	-0.235263	0.682611
6	0.01161	0.00608458	-0.674968	0.892325
6.5	0.0147268	0.00566277	-1.26695	0.585291
7	0.0261065	0.00547044	-1.16814	0.199461
7.5	0.0459737	0.00534376	-0.871968	0.104441
8	0.0701563	0.00541748	-0.954236	0.0658295
8.5	0.112603	0.00564055	-0.98014	0.0477839
9	0.183371	0.00606157	-0.970135	0.0296414
