time	Propagator(t)	dPropagator	deltaE(t)	ddeltaE
0	0.482701	0.00699376	1.01256	0.0185428
0.5	0.29121	0.0063795	1.0382	0.0301057
1	0.173441	0.00565247	1.0636	0.0525628
1.5	0.101688	0.00539369	1.10034	0.0930594
2	0.0590238	0.00530998	1.12558	0.185628
2.5	0.033801	0.00546356	1.00704	0.257173
3	0.0204766	0.00545389	1.26385	0.868924
3.5	0.0122182	0.00559113	0.153622	0.761647
4	0.011632	0.00599677	-0.425043	0.862281
4.5	0.0141113	0.00665722	0.228888	0.860885
5	0.0144928	0.00732541	-0.228888	0.860885
5.5	0.0141113	0.00665722	0.425043	0.862281
6	0.011632	0.00599677	-0.153622	0.761647
6.5	0.0122182	0.00559113	-1.26385	0.868924
7	0.0204766	0.00545389	-1.00704	0.257173
7.5	0.033801	0.00546356	-1.12558	0.185628
8	0.0590238	0.00530998	-1.10034	0.0930594
8.5	0.101688	0.00539369	-1.0636	0.0525628
9	0.173441	0.00565247	-1.0382	0.0301057
